AgeGroup,Value
0 to 4,9429
5 to 9,8913
10 to 14,12200
15 to 19,20552
20 to 24,60825
25 to 29,84962
30 to 34,75309
35 to 39,57046
40 to 44,49122
45 to 49,41253
50 to 54,37403
55 to 59,31977
60 to 64,25353
65 to 69,17848
70 to 74,12391
75 to 79,6851
80+,7572
